CONCLUSION,CONCLUSION_FORM,DOMAIN,ITEM,PAIR_TYPE,PREMISE,VALID
Morgan is allowed to polish the wooden banister and is allowed to test the smoke detector.,AND,modal,M00,allowed_and,Morgan is allowed to polish the wooden banister or test the smoke detector.,N
Kendall has permission to blend a soup base and to decorate the gift box.,AND,modal,M01,allowed_and,Kendall has permission to blend a soup base or to decorate the gift box.,N
Kennedy is free to deliver fresh produce and to test a new recipe.,AND,modal,M02,allowed_and,Kennedy is free to deliver fresh produce or test a new recipe.,N
Drew is cleared to assemble a model rocket and also cleared to polish a silver tray.,AND,modal,M03,allowed_and,Drew is cleared to assemble a model rocket or polish a silver tray.,N
Jules is allowed to marinate portobello mushrooms.,A,modal,M04,allowed_single,Jules is allowed to marinate portobello mushrooms or review the safety checklist.,N
Devin has permission to label the sample jars.,B,modal,M05,allowed_single,Devin has permission to organize a craft drawer or to label the sample jars.,N
Parker is free to label each cable.,A,modal,M06,allowed_single,Parker is free to label each cable or prepare a welcome packet.,N
Sage is cleared to measure a parcel box.,B,modal,M07,allowed_single,Sage is cleared to arrange the seating area or measure a parcel box.,N
"Eden may frost a sheet cake, and may sketch a city skyline.",AND,modal,M08,must_and,Eden should frost a sheet cake or sketch a city skyline.,N
Blair is allowed to reserve a quiet study room and is allowed to clean the studio floor.,AND,modal,M09,must_and,Blair is supposed to reserve a quiet study room or clean the studio floor.,N
Riley is free to repair the desk drawer and to water the houseplants.,AND,modal,M10,must_and,Riley is expected to repair the desk drawer or water the houseplants.,N
"Cameron can design a puzzle layout, and can compose a thank-you note.",AND,modal,M11,must_and,Cameron is required to do either design a puzzle layout or compose a thank-you note.,N
Tegan may test the projector.,A,modal,M12,must_single,Tegan should test the projector or draft the announcement.,N
Logan is allowed to charge the tablet.,B,modal,M13,must_single,Logan is supposed to deliver the package or charge the tablet.,N
Dylan can draft a quick outline.,A,modal,M14,must_single,Dylan is expected to draft a quick outline or scan the ticket stub.,N
Reese is free to wrap the fragile vase.,B,modal,M15,must_single,Reese is required to do either bake a lasagna or wrap the fragile vase.,N
"Some people checked the tire pressure, and some people recorded a short tutorial.",AND,modal,M16,all_and,Everyone checked the tire pressure or recorded a short tutorial.,N
"At least one person measured the table length, and at least one person measured the window frame.",AND,modal,M17,all_and,Each participant measured the table length or measured the window frame.,N
"A few of them sketched a costume idea, and a few of them watered the herb garden.",AND,modal,M18,all_and,The whole group sketched a costume idea or watered the herb garden.,N
"Several people scanned a pencil drawing, and several people scheduled the team call.",AND,modal,M19,all_and,All of them scanned a pencil drawing or scheduled the team call.,N
Some people scheduled the rehearsal.,A,modal,M20,all_single,Everyone scheduled the rehearsal or wrapped a stack of books.,N
At least one person packed the overnight bag.,B,modal,M21,all_single,Each participant polished the brass handle or packed the overnight bag.,N
A few of them composed an email update.,A,modal,M22,all_single,The whole group composed an email update or photographed the old bridge.,N
Several people printed a seating chart.,B,modal,M23,all_single,All of them collected feedback forms or printed a seating chart.,N
