correct,item,domain,pair_type,conclusion_form,scenario,template_id,premise,conclusion,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,SESSION,PARTICIPANT,STIMULUS_VALID,STIMULUS_DOMAIN,STIMULUS_PAIR_TYPE
Y,P04,control,quantifier,,,0.0,Some blondes have dark eyes.,Some people with dark eyes are blondes.,17033,Premise: Some blondes have dark eyes. / Conclusion: Some people with dark eyes are blondes.,B,html-keyboard-response,2,2.1.0,42386,PRACTICE,661ec48c618b7a27e5a9077a,Y,control,quantifier
N,P01,control,conjunction,,,0.0,The tourist visited the castle and photographed the courtyard.,The tourist visited the cathedral.,13126,Premise: The tourist visited the castle and photographed the courtyard. / Conclusion: The tourist visited the cathedral.,N,html-keyboard-response,5,2.1.0,61427,PRACTICE,661ec48c618b7a27e5a9077a,N,control,conjunction
N,P07,control,presupposition,,,0.0,Mark won a car race.,Mark has never participated in a car race.,13156,Premise: Mark won a car race. / Conclusion: Mark has never participated in a car race.,N,html-keyboard-response,8,2.1.0,79277,PRACTICE,661ec48c618b7a27e5a9077a,N,control,presupposition
N,P05,control,quantifier,,,0.0,Some blondes have dark eyes.,Some blondes have dark clothes.,8868,Premise: Some blondes have dark eyes. / Conclusion: Some blondes have dark clothes.,N,html-keyboard-response,11,2.1.0,92544,PRACTICE,661ec48c618b7a27e5a9077a,N,control,quantifier
N,P03,control,conditional,,,0.0,"If Laura finishes preparing the detailed report today, she will send it to the entire team.",Laura will send the report to the team.,9855,"Premise: If Laura finishes preparing the detailed report today, she will send it to the entire team. / Conclusion: Laura will send the report to the team.",B,html-keyboard-response,14,2.1.0,106248,PRACTICE,661ec48c618b7a27e5a9077a,N,control,conditional
Y,P00,control,conjunction,,,0.0,Sophia stopped by the bakery and bought fresh bread.,Sophia went to the bakery.,6932,Premise: Sophia stopped by the bakery and bought fresh bread. / Conclusion: Sophia went to the bakery.,B,html-keyboard-response,17,2.1.0,116998,PRACTICE,661ec48c618b7a27e5a9077a,Y,control,conjunction
Y,P06,control,presupposition,,,0.0,Alice won a car race.,Alice participated in a car race.,4632,Premise: Alice won a car race. / Conclusion: Alice participated in a car race.,B,html-keyboard-response,20,2.1.0,125746,PRACTICE,661ec48c618b7a27e5a9077a,Y,control,presupposition
Y,P02,control,conditional,,,0.0,"Since heavy fog covered the valley, the hikers lost visibility.",The hikers could no longer see their surroundings clearly.,11873,"Premise: Since heavy fog covered the valley, the hikers lost visibility. / Conclusion: The hikers could no longer see their surroundings clearly.",B,html-keyboard-response,23,2.1.0,140889,PRACTICE,661ec48c618b7a27e5a9077a,Y,control,conditional
Y,C27,control,quantifier,,,,Every table is a piece of furniture.,"If you have a table in your room, you have a piece of furniture.",7693,"Premise: Every table is a piece of furniture. / Conclusion: If you have a table in your room, you have a piece of furniture.",B,html-keyboard-response,27,2.1.0,167879,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,quantifier
?,M11,modal,must_and,AND,,,Cameron is required to pack the carry-on bag or book the train tickets.,Cameron is allowed to pack the carry-on bag and is allowed to book the train tickets.,17136,Premise: Cameron is required to pack the carry-on bag or book the train tickets. / Conclusion: Cameron is allowed to pack the carry-on bag and is allowed to book the train tickets.,B,html-keyboard-response,29,2.1.0,186020,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_and
?,W33,want,want_mind_and,AND,,,Ryan wants to scrub the tile grout or paint the hallway.,Ryan is fine with scrubbing the tile grout and is fine with painting the hallway.,14163,Premise: Ryan wants to scrub the tile grout or paint the hallway. / Conclusion: Ryan is fine with scrubbing the tile grout and is fine with painting the hallway.,N,html-keyboard-response,31,2.1.0,201189,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_and
?,W47,want,atleast_single_b,B,,,Sawyer wants to test the microphone or at least review the agenda.,Sawyer wants to review the agenda.,10013,Premise: Sawyer wants to test the microphone or at least review the agenda. / Conclusion: Sawyer wants to review the agenda.,B,html-keyboard-response,33,2.1.0,212208,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_b
?,M06,modal,allowed_single,A,,,Parker is free to renew the passport or arrange the airport ride.,Parker is free to renew the passport.,11281,Premise: Parker is free to renew the passport or arrange the airport ride. / Conclusion: Parker is free to renew the passport.,B,html-keyboard-response,35,2.1.0,224497,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,allowed_single
?,W24,want,want_and,AND,,,Jordan wants to preheat the oven or grill the skewers.,Jordan wants to preheat the oven and wants to grill the skewers.,9281,Premise: Jordan wants to preheat the oven or grill the skewers. / Conclusion: Jordan wants to preheat the oven and wants to grill the skewers.,N,html-keyboard-response,37,2.1.0,234789,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_and
