CONDITION,CORRECT,DOMAIN,ITEM,ITEM1,ITEM1_STATUS,ITEM1_TYPE,ITEM2,ITEM2_STATUS,ITEM2_TYPE,LOGICAL_TRUTH,MODAL_LEX,PERM_PAIR,SEGMENTS,SENTENCE,STRUCTURE,SUBCONDITION,TRIBE,VERB
DOUBLE_CONTROL,N,want,D153,an orange,,dislikes,a cherry,,dislikes,N,,,"[{'text': 'Richard-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange or a cherry'}]",Richard-the-Urbanite wants to eat an orange or a cherry,double,dislikes|dislikes,Urbanite,want
DOUBLE_CONTROL,Y,modal,D198,beef,allowed,Meat,a donut,allowed,Sweet,Y,may,,"[{'text': 'John-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'beef or a donut'}]",John-the-Urbanite may eat beef or a donut,double,allowed|allowed,Urbanite,may
DOUBLE_CONTROL,N,want,D143,a grapefruit,,dislikes,a strawberry,,dislikes,N,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a grapefruit or a strawberry'}]",Karen-the-Urbanite wants to eat a grapefruit or a strawberry,double,dislikes|dislikes,Urbanite,want
SINGLE_CONTROL,Y,want,S39,a peach,,wants,,,,Y,,,"[{'text': 'Joseph-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a peach'}]",Joseph-the-Nomad wants to eat a peach,single,,Nomad,want
SINGLE_CONTROL,Y,want,S33,an apple,,wants,,,,Y,,,"[{'text': 'Richard-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple'}]",Richard-the-Nomad wants to eat an apple,single,,Nomad,want
SINGLE_CONTROL,N,modal,S76,an orange,forbidden,Fruit,,,,N,may,,"[{'text': 'Donald-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange'}]",Donald-the-Urbanite may eat an orange,single,,Urbanite,may
EXPERIMENTAL,Y/N,want,E115,a cherry,,wants,a meatloaf,,accepts,NA,,,"[{'text': 'Mark-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cherry or a meatloaf'}]",Mark-the-Nomad wants to eat a cherry or a meatloaf,disjunction,wants|accepts,Nomad,want
SINGLE_CONTROL,N,want,S51,a burger,,accepts,,,,N,,,"[{'text': 'Sarah-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a burger'}]",Sarah-the-Nomad wants to eat a burger,single,,Nomad,want
DOUBLE_CONTROL,Y,want,D150,a cake,,wants,a cupcake,,wants,Y,,,"[{'text': 'Emily-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake or a cupcake'}]",Emily-the-Urbanite wants to eat a cake or a cupcake,double,wants|wants,Urbanite,want
DOUBLE_CONTROL,N,modal,D201,a chocolate,forbidden,Sweet,a brownie,forbidden,Sweet,N,may,,"[{'text': 'Michael-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a chocolate or a brownie'}]",Michael-the-Nomad may eat a chocolate or a brownie,double,forbidden|forbidden,Nomad,may
EXPERIMENTAL,Y/N,want,E104,a cupcake,,wants,a pear,,dislikes,NA,,,"[{'text': 'Joshua-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake or a pear'}]",Joshua-the-Urbanite wants to eat a cupcake or a pear,disjunction,wants|dislikes,Urbanite,want
EXPERIMENTAL,Y,modal,E139,a peach,allowed,Fruit,a brownie,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Jennifer-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a peach or a brownie'}]",Jennifer-the-Nomad may eat a peach or a brownie,disjunction,,Nomad,may
SINGLE_CONTROL,N,want,S19,a peach,,dislikes,,,,N,,,"[{'text': 'Jennifer-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a peach'}]",Jennifer-the-Urbanite wants to eat a peach,single,,Urbanite,want
SINGLE_CONTROL,N,want,S23,a meatball,,accepts,,,,N,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a meatball'}]",Karen-the-Urbanite wants to eat a meatball,single,,Urbanite,want
