correct,verb,item,condition,sentence,structure,subcondition,order,relation,logical_truth,item1,item2,item1_type,item2_type,tribe,feedback_correct,feedback_incorrect,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,SESSION,PARTICIPANT,JATOS_STUDY_RESULT_ID,JATOS_STUDY_RESULT_UUID,JATOS_WORKER_ID,JATOS_START_DATE,JATOS_END_DATE,JATOS_DURATION,JATOS_STUDY_STATE,PROLIFIC_STUDY_ID,PROLIFIC_SESSION_ID,STIMULUS_CORRECT,STIMULUS_LOGICAL_TRUTH,STIMULUS_CONDITION,STIMULUS_SUBCONDITION,STIMULUS_ORDER
Y,want,PR0,SINGLE_CONTROL,Charles-the-Urbanite wants to eat a chocolate,single,wants,single,,Y,a chocolate,,wants,,Urbanite,Your answer is correct. Charles-the-Urbanite always wants to eat sweets.,Your answer is incorrect. Charles-the-Urbanite always wants to eat sweets.,13727,a chocolate,B,html-keyboard-response,4,2.1.0,90240,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,SINGLE_CONTROL,wants,single
N,prefer,PR19,PREFER_DIFFERENT,Jennifer-the-Urbanite prefers to eat pork rather than a brownie,preference,accepts_vs_wants,BA,lt,N,pork,a brownie,accepts,wants,Urbanite,Your answer is correct. Jennifer-the-Urbanite never prefers meat to sweets.,Your answer is incorrect. Jennifer-the-Urbanite never prefers meat to sweets.,3635,pork rather than a brownie,N,html-keyboard-response,10,2.1.0,101442,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
N,prefer,PR28,PREFER_SAME,Robert-the-Nomad prefers to eat pork rather than ribs,preference,accepts_vs_accepts,AB,eq,N,pork,ribs,accepts,accepts,Nomad,Your answer is correct. Robert-the-Nomad equally likes pork and ribs.,Your answer is incorrect. Robert-the-Nomad equally likes pork and ribs.,4615,pork rather than ribs,N,html-keyboard-response,16,2.1.0,112440,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,accepts_vs_accepts,AB
N,prefer,PR30,PREFER_SAME,Emily-the-Nomad prefers to eat a strawberry rather than a peach,preference,wants_vs_wants,AB,eq,N,a strawberry,a peach,wants,wants,Nomad,Your answer is correct. Emily-the-Nomad equally likes a strawberry and a peach.,Your answer is incorrect. Emily-the-Nomad equally likes a strawberry and a peach.,2585,a strawberry rather than a peach,N,html-keyboard-response,22,2.1.0,122108,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,wants_vs_wants,AB
N,prefer,PR29,PREFER_SAME,James-the-Nomad prefers to eat beef rather than pork,preference,accepts_vs_accepts,AB,eq,N,beef,pork,accepts,accepts,Nomad,Your answer is correct. James-the-Nomad equally likes beef and pork.,Your answer is incorrect. James-the-Nomad equally likes beef and pork.,1790,beef rather than pork,N,html-keyboard-response,28,2.1.0,129446,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,accepts_vs_accepts,AB
Y,want,PR8,DOUBLE_CONTROL,William-the-Urbanite wants to eat a donut or caramel,disjunction,wants|wants,AB,,Y,a donut,caramel,wants,wants,Urbanite,Your answer is correct. William-the-Urbanite always wants to eat sweets.,Your answer is incorrect. William-the-Urbanite always wants to eat sweets.,2241,a donut or caramel,B,html-keyboard-response,34,2.1.0,136437,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,DOUBLE_CONTROL,wants|wants,AB
Y,prefer,PR16,PREFER_DIFFERENT,Ashley-the-Urbanite prefers to eat a hotdog rather than a cherry,preference,accepts_vs_dislikes,AB,gt,Y,a hotdog,a cherry,accepts,dislikes,Urbanite,Your answer is correct. Ashley-the-Urbanite always prefers meat to fruit.,Your answer is incorrect. Ashley-the-Urbanite always prefers meat to fruit.,3728,a hotdog rather than a cherry,B,html-keyboard-response,40,2.1.0,151825,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,PREFER_DIFFERENT,accepts_vs_dislikes,AB
Y,want,PR9,DOUBLE_CONTROL,Margaret-the-Urbanite wants to eat a donut or a brownie,disjunction,wants|wants,BA,,Y,a donut,a brownie,wants,wants,Urbanite,Your answer is correct. Margaret-the-Urbanite always wants to eat sweets.,Your answer is incorrect. Margaret-the-Urbanite always wants to eat sweets.,4978,a donut or a brownie,B,html-keyboard-response,46,2.1.0,165333,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,DOUBLE_CONTROL,wants|wants,BA
N,prefer,PR27,PREFER_SAME,Betty-the-Urbanite prefers to eat caramel rather than a muffin,preference,wants_vs_wants,AB,eq,N,caramel,a muffin,wants,wants,Urbanite,Your answer is correct. Betty-the-Urbanite equally likes caramel and a muffin.,Your answer is incorrect. Betty-the-Urbanite equally likes caramel and a muffin.,2012,caramel rather than a muffin,n,html-keyboard-response,52,2.1.0,174409,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,wants_vs_wants,AB
Y,want,PR5,SINGLE_CONTROL,Elizabeth-the-Nomad wants to eat a cherry,single,wants,single,,Y,a cherry,,wants,,Nomad,Your answer is correct. Elizabeth-the-Nomad always wants to eat fruit.,Your answer is incorrect. Elizabeth-the-Nomad always wants to eat fruit.,2930,a cherry,b,html-keyboard-response,58,2.1.0,184092,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,SINGLE_CONTROL,wants,single
N,want,PR3,SINGLE_CONTROL,Dorothy-the-Urbanite wants to eat an apple,single,dislikes,single,,N,an apple,,dislikes,,Urbanite,Your answer is correct. Dorothy-the-Urbanite never wants to eat fruit.,Your answer is incorrect. Dorothy-the-Urbanite never wants to eat fruit.,1581,an apple,n,html-keyboard-response,64,2.1.0,191659,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,SINGLE_CONTROL,dislikes,single
Y,prefer,PR20,PREFER_DIFFERENT,Mary-the-Nomad prefers to eat a steak rather than a brownie,preference,accepts_vs_dislikes,AB,gt,Y,a steak,a brownie,accepts,dislikes,Nomad,Your answer is correct. Mary-the-Nomad always prefers meat to sweets.,Your answer is incorrect. Mary-the-Nomad always prefers meat to sweets.,6053,a steak rather than a brownie,b,html-keyboard-response,70,2.1.0,202430,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,PREFER_DIFFERENT,accepts_vs_dislikes,AB
N,prefer,PR26,PREFER_SAME,Donna-the-Urbanite prefers to eat a muffin rather than a cake,preference,wants_vs_wants,AB,eq,N,a muffin,a cake,wants,wants,Urbanite,Your answer is correct. Donna-the-Urbanite equally likes a muffin and a cake.,Your answer is incorrect. Donna-the-Urbanite equally likes a muffin and a cake.,1514,a muffin rather than a cake,n,html-keyboard-response,76,2.1.0,209312,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,wants_vs_wants,AB
N,want,PR14,DOUBLE_CONTROL,Matthew-the-Nomad wants to eat a cupcake or a lollipop,disjunction,dislikes|dislikes,AB,,N,a cupcake,a lollipop,dislikes,dislikes,Nomad,Your answer is correct. Matthew-the-Nomad never wants to eat sweets.,Your answer is incorrect. Matthew-the-Nomad never wants to eat sweets.,3481,a cupcake or a lollipop,n,html-keyboard-response,82,2.1.0,217220,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,dislikes|dislikes,AB
N,prefer,PR23,PREFER_DIFFERENT,Karen-the-Nomad prefers to eat a kebab rather than an apple,preference,accepts_vs_wants,BA,lt,N,a kebab,an apple,accepts,wants,Nomad,Your answer is correct. Karen-the-Nomad never prefers meat to fruit.,Your answer is incorrect. Karen-the-Nomad never prefers meat to fruit.,2474,a kebab rather than an apple,n,html-keyboard-response,88,2.1.0,224261,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,accepts_vs_wants,BA
N,prefer,PR17,PREFER_DIFFERENT,Susan-the-Urbanite prefers to eat an orange rather than ribs,preference,dislikes_vs_accepts,BA,lt,N,an orange,ribs,dislikes,accepts,Urbanite,Your answer is correct. Susan-the-Urbanite never prefers fruit to meat.,Your answer is incorrect. Susan-the-Urbanite never prefers fruit to meat.,2488,an orange rather than ribs,n,html-keyboard-response,94,2.1.0,231046,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
N,prefer,PR25,PREFER_SAME,Steven-the-Urbanite prefers to eat a meatloaf rather than a sausage,preference,accepts_vs_accepts,AB,eq,N,a meatloaf,a sausage,accepts,accepts,Urbanite,Your answer is correct. Steven-the-Urbanite equally likes a meatloaf and a sausage.,Your answer is incorrect. Steven-the-Urbanite equally likes a meatloaf and a sausage.,1777,a meatloaf rather than a sausage,n,html-keyboard-response,100,2.1.0,237671,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,accepts_vs_accepts,AB
N,want,PR7,SINGLE_CONTROL,Daniel-the-Nomad wants to eat caramel,single,dislikes,single,,N,caramel,,dislikes,,Nomad,Your answer is correct. Daniel-the-Nomad never wants to eat sweets.,Your answer is incorrect. Daniel-the-Nomad never wants to eat sweets.,1495,caramel,n,html-keyboard-response,106,2.1.0,243381,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,SINGLE_CONTROL,dislikes,single
N,prefer,PR21,PREFER_DIFFERENT,Lisa-the-Nomad prefers to eat a chocolate rather than a burger,preference,dislikes_vs_accepts,BA,lt,N,a chocolate,a burger,dislikes,accepts,Nomad,Your answer is correct. Lisa-the-Nomad never prefers sweets to meat.,Your answer is incorrect. Lisa-the-Nomad never prefers sweets to meat.,1382,a chocolate rather than a burger,n,html-keyboard-response,112,2.1.0,248773,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
Y,want,PR12,DOUBLE_CONTROL,Linda-the-Nomad wants to eat a cranberry or a grapefruit,disjunction,wants|wants,AB,,Y,a cranberry,a grapefruit,wants,wants,Nomad,Your answer is correct. Linda-the-Nomad always wants to eat fruit.,Your answer is incorrect. Linda-the-Nomad always wants to eat fruit.,2754,a cranberry or a grapefruit,b,html-keyboard-response,118,2.1.0,255076,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,DOUBLE_CONTROL,wants|wants,AB
N,want,PR2,SINGLE_CONTROL,Christopher-the-Urbanite wants to eat a cranberry,single,dislikes,single,,N,a cranberry,,dislikes,,Urbanite,Your answer is correct. Christopher-the-Urbanite never wants to eat fruit.,Your answer is incorrect. Christopher-the-Urbanite never wants to eat fruit.,1106,a cranberry,n,html-keyboard-response,124,2.1.0,260399,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,SINGLE_CONTROL,dislikes,single
Y,want,PR1,SINGLE_CONTROL,Michael-the-Urbanite wants to eat a cookie,single,wants,single,,Y,a cookie,,wants,,Urbanite,Your answer is correct. Michael-the-Urbanite always wants to eat sweets.,Your answer is incorrect. Michael-the-Urbanite always wants to eat sweets.,1176,a cookie,b,html-keyboard-response,130,2.1.0,265868,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,SINGLE_CONTROL,wants,single
N,want,PR11,DOUBLE_CONTROL,Sarah-the-Urbanite wants to eat a strawberry or a grapefruit,disjunction,dislikes|dislikes,BA,,N,a strawberry,a grapefruit,dislikes,dislikes,Urbanite,Your answer is correct. Sarah-the-Urbanite never wants to eat fruit.,Your answer is incorrect. Sarah-the-Urbanite never wants to eat fruit.,1192,a strawberry or a grapefruit,n,html-keyboard-response,136,2.1.0,271714,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,dislikes|dislikes,BA
Y,want,PR4,SINGLE_CONTROL,Barbara-the-Nomad wants to eat a pear,single,wants,single,,Y,a pear,,wants,,Nomad,Your answer is correct. Barbara-the-Nomad always wants to eat fruit.,Your answer is incorrect. Barbara-the-Nomad always wants to eat fruit.,2014,a pear,b,html-keyboard-response,142,2.1.0,278082,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,SINGLE_CONTROL,wants,single
Y,want,PR13,DOUBLE_CONTROL,Andrew-the-Nomad wants to eat a cranberry or an apple,disjunction,wants|wants,BA,,Y,a cranberry,an apple,wants,wants,Nomad,Your answer is correct. Andrew-the-Nomad always wants to eat fruit.,Your answer is incorrect. Andrew-the-Nomad always wants to eat fruit.,2723,a cranberry or an apple,b,html-keyboard-response,148,2.1.0,284692,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,DOUBLE_CONTROL,wants|wants,BA
N,want,PR10,DOUBLE_CONTROL,Patricia-the-Urbanite wants to eat a strawberry or a peach,disjunction,dislikes|dislikes,AB,,N,a strawberry,a peach,dislikes,dislikes,Urbanite,Your answer is correct. Patricia-the-Urbanite never wants to eat fruit.,Your answer is incorrect. Patricia-the-Urbanite never wants to eat fruit.,922,a strawberry or a peach,n,html-keyboard-response,154,2.1.0,289298,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,dislikes|dislikes,AB
N,want,PR6,SINGLE_CONTROL,Nancy-the-Nomad wants to eat a muffin,single,dislikes,single,,N,a muffin,,dislikes,,Nomad,Your answer is correct. Nancy-the-Nomad never wants to eat sweets.,Your answer is incorrect. Nancy-the-Nomad never wants to eat sweets.,1023,a muffin,n,html-keyboard-response,160,2.1.0,294241,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,SINGLE_CONTROL,dislikes,single
N,prefer,PR31,PREFER_SAME,Jessica-the-Nomad prefers to eat a grapefruit rather than a strawberry,preference,wants_vs_wants,AB,eq,N,a grapefruit,a strawberry,wants,wants,Nomad,Your answer is correct. Jessica-the-Nomad equally likes a grapefruit and a strawberry.,Your answer is incorrect. Jessica-the-Nomad equally likes a grapefruit and a strawberry.,1978,a grapefruit rather than a strawberry,n,html-keyboard-response,166,2.1.0,299964,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,wants_vs_wants,AB
Y,prefer,PR18,PREFER_DIFFERENT,Anthony-the-Urbanite prefers to eat a donut rather than ribs,preference,wants_vs_accepts,AB,gt,Y,a donut,ribs,wants,accepts,Urbanite,Your answer is correct. Anthony-the-Urbanite always prefers sweets to meat.,Your answer is incorrect. Anthony-the-Urbanite always prefers sweets to meat.,1413,a donut rather than ribs,b,html-keyboard-response,172,2.1.0,305164,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
N,prefer,PR24,PREFER_SAME,Joshua-the-Urbanite prefers to eat a sausage rather than a meatball,preference,accepts_vs_accepts,AB,eq,N,a sausage,a meatball,accepts,accepts,Urbanite,Your answer is correct. Joshua-the-Urbanite equally likes a sausage and a meatball.,Your answer is incorrect. Joshua-the-Urbanite equally likes a sausage and a meatball.,1470,a sausage rather than a meatball,n,html-keyboard-response,178,2.1.0,310345,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,accepts_vs_accepts,AB
N,want,PR15,DOUBLE_CONTROL,Sandra-the-Nomad wants to eat a cupcake or a cake,disjunction,dislikes|dislikes,BA,,N,a cupcake,a cake,dislikes,dislikes,Nomad,Your answer is correct. Sandra-the-Nomad never wants to eat sweets.,Your answer is incorrect. Sandra-the-Nomad never wants to eat sweets.,1553,a cupcake or a cake,n,html-keyboard-response,184,2.1.0,315525,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,dislikes|dislikes,BA
